Player,Team,Position,Age,Market value,Contract expires,Minutes played,Passport country,Foot,Height,Weight,On loan,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,PAdj Interceptions,Fouls per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %","Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
K. Mbappé,PSG,"CF, LWF",21,180000000,2022-06-30,1618,France,right,178,73,no,1.78,40.63,0.72,53.85,0,0.94,0.61,0.79,4.78,56.98,20.93,31.43,9.29,54.49,9.85,4.89,32.76,1.72,34.65,78.81,5.51,74.75,9.18,10.46,30.2,0.78,15.7,0.43,1.78,2.34,95.24,3.62,58.46,2.95,1.17,3.67,96.97
Neymar,PSG,"LW, LWF, CF",28,128000000,2022-06-30,1401,Brazil,right,175,68,no,4.75,45.95,0.32,20,0.21,2.6,0.77,0.8,4.5,54.29,18.571,18.52,13.94,53.46,4.95,5.14,45.8,1.35,55.05,81.8,18.12,75.18,8.09,16,49.53,3.85,16.77,0.17,1.93,9.96,78.71,7.58,61.02,3.98,0.45,8.99,91.43
H. Kane,Tottenham Hotspur,CF,27,120000000,2024-06-30,2810,England,right,188,86,no,2.95,50,5.7,37.08,0.34,2.42,1.15,0.41,2.53,45.57,22.785,29.03,3.3,44.66,3.2,1.19,12.78,1.28,16.56,70.41,4.52,60.99,2.82,5.73,14.32,1.51,18.49,0.07,0.54,3.27,58.82,1.6,44,1.09,0.26,2.56,78.75
S. Mané,Liverpool,LWF,28,120000000,2023-06-30,2933,Senegal,right,175,75,no,4.2,54.01,3.28,32.71,0.31,3.01,1.32,0.4,2.24,50.68,24.658,32.14,5.58,55.49,5.52,3.28,26.82,2.03,34.06,81.44,6.81,72.97,7.7,12.55,31.08,1.41,16.41,0.21,1.5,2.92,76.84,4.27,64.03,2.82,0.61,4.63,86.09
Mohamed Salah,Liverpool,"RWF, CF",28,120000000,2023-06-30,3055,Egypt,left,175,72,no,3.09,63.81,1.5,17.65,0,1.5,0.5,0.53,3.68,46.4,15.2,31.43,4.01,52.21,6.95,2.09,23.66,2.89,27.78,75.82,5.72,64.95,7.28,7.92,25.84,1,14.7,0.17,1.3,2.12,63.89,3.3,55.36,2.92,0.32,3.39,85.22
R. Sterling,Manchester City,"LWF, LAMF, LW",26,110000000,2023-06-30,2841,"Jamaica, England",right,170,69,no,4.12,56.92,1.52,35.42,0.21,2.92,0.95,0.59,2.98,39.36,21.277,29.87,7.32,47.62,7.32,3.48,30.82,2.85,37.29,82.16,6.24,68.53,11.69,10.11,34.12,0.76,14.81,0.21,1.33,1.46,71.74,3.14,52.53,2.53,0.63,3.45,87.16
L. Messi,Barcelona,"RWF, CF",33,100000000,2021-06-30,3072,"Argentina, Spain",left,170,72,no,2.2,42.67,0.29,50,0.2,1.14,0.59,0.56,4.63,45.57,15.823,31.91,10.14,53.76,4.57,5.8,49.45,1.52,56.54,82.38,17.61,73.71,9.58,17.99,51.91,3.49,16.36,0.33,2.14,8.99,81.11,7.21,57.72,5.24,0.47,8.7,89.9
E. Haaland,Borussia Dortmund,CF,20,100000000,2024-06-30,1115,Norway,left,194,88,no,1.7,66.67,2.66,33.33,0,2.5,0.89,0.61,2.66,60.61,39.394,33.33,2.5,32.26,4.92,1.13,14.13,1.45,17.11,76.42,2.5,61.29,4.28,5.49,16.22,0.16,15.96,0.08,0.32,1.37,58.82,1.29,68.75,1.05,0.16,1.53,73.68
J. Sancho,Borussia Dortmund,"RAMF, LWF, RWF",20,100000000,2023-06-30,2385,England,right,180,76,no,2.64,50,0.42,0,0,2.15,0.38,0.31,1.96,53.85,32.692,39.02,6.34,41.67,4.57,3.81,47.62,1.55,56.72,85.76,11.17,79.05,16.42,16.53,54.38,0.83,15.21,0.29,2.19,3.4,82.22,3.85,67.65,3.21,0.57,6.26,82.53
João Félix,Atlético Madrid,CF,21,100000000,2026-06-30,1830,Portugal,right,181,72,no,2.95,33.33,3.3,29.85,0.38,1.66,1.52,0.39,3.1,28.57,9.524,30,4.13,44.05,3.2,1.72,19.77,0.84,24.44,79.68,6.89,70.71,6.49,5.56,22.87,0.79,14.54,0.09,0.79,2.9,71.19,1.77,41.67,0.98,0.44,3.15,68.75
S. Gnabry,Bayern München,"RAMF, LAMF, RWF",25,90000000,2023-06-30,2300,"Germany, Côte d'Ivoire",right,175,75,no,4.66,56.3,1.1,28.57,0.33,3.5,0.59,0.46,3.72,45.26,12.632,33.33,6.42,49.39,7.36,3.25,36.04,4.23,42.57,80.97,7.51,76.56,12.72,12.72,38.27,1.17,16.3,0.38,1.64,2.43,79.03,3.72,49.47,2.39,1.13,4.89,84.8
Heung-Min Son,Tottenham Hotspur,"LAMF, CF, LW",28,90000000,2023-06-30,2665,Korea Republic,right,183,79,no,4.96,55.78,1.11,18.18,0,2.91,0.57,0.34,2.7,47.5,13.75,29.41,4.9,53.79,3.85,1.89,20.6,1.76,26.85,85.53,5.57,74.55,7.09,7.73,25.09,0.74,15.99,0.21,1.42,1.82,83.33,1.69,64,1.42,0.24,3.07,73.63
R. Lukaku,Internazionale,CF,27,85000000,2024-06-30,3161,"Belgium, Congo DR",left,191,94,no,1.71,45,4.47,50.96,0.04,1.49,1.34,0.53,2.7,49.47,24.211,23.33,2.7,50.53,5.07,1.14,13.41,2.28,20.47,74.83,4.24,60.4,5.07,5.84,18.79,0.88,14.44,0.13,1.25,1.59,71.43,1.85,53.85,1.71,0.17,1.82,78.13
Ansu Fati,Barcelona,LWF,18,80000000,2022-06-30,1108,"Guinea-Bissau, Spain",right,178,66,no,5.12,52.38,1.79,40.91,0.84,4.38,1.46,0.26,2.76,35.29,20.588,30,6.74,42.17,5.93,4.39,36.88,1.38,41.67,84.6,5.28,78.46,16.08,9.18,39.15,1.06,14.39,0.24,1.54,1.46,88.89,2.44,43.33,2.11,0.32,2.36,62.07
A. Griezmann,Barcelona,"CF, LWF, LW",29,80000000,2024-06-30,2675,France,left,176,73,no,3.2,61.05,1.82,53.7,0.75,4.05,0.34,0.25,1.92,40.35,15.789,34.62,1.01,56.67,4.64,0.71,31.96,2.09,36.67,83.67,6.16,69.4,11.04,11.84,34.55,1.35,15.45,0.11,0.87,2.49,82.43,1.95,68.97,1.78,0.27,3.6,67.29
M. Rashford,Manchester United,"LAMF, CF",23,80000000,2023-06-30,2846,England,right,187,72,no,2.69,54.12,2.31,28.77,0.28,2.75,0.63,0.52,2.85,48.89,18.889,31.43,5.41,44.44,3.61,2.88,24.48,1.9,29.41,79.35,6.32,63,8.76,8.19,26.75,1.71,16.08,0.14,1.04,2.31,69.86,3.35,71.7,2.37,0.38,4.62,84.25
P. Dybala,Juventus,"CF, AMF",27,80000000,2022-06-30,2290,"Argentina, Italy",left,177,75,no,3.81,48.45,0.43,36.36,0.47,2.65,0.9,0.37,3.93,37,11,43.59,5.82,56.08,3.97,3.07,46.61,1.93,54.28,88.12,10.61,80,13.72,18.04,50.42,2.36,16.11,0.31,2.59,5.03,86.72,2.95,69.33,2.04,0.67,5.86,85.91
Roberto Firmino,Liverpool,CF,29,72000000,2023-06-30,3157,Brazil,right,181,76,no,3.71,54.62,3.14,26.36,0.24,3.29,0.8,0.4,2.62,39.13,9.783,31.58,3.08,56.48,5.16,1.74,24.6,1.45,31.76,81.6,7.75,69.85,6.13,10.18,30.76,0.63,14.93,0.17,1.14,3.68,75.97,2,65.71,1.88,0.14,3.48,88.52
T. Werner,Chelsea,CF,24,70000000,2025-06-30,2934,Germany,right,180,76,no,2.15,60,0.98,28.13,0.16,1.28,0.52,0.58,3.56,53.45,24.138,33.01,5.89,51.04,6.66,3.07,26.1,3.19,31.35,74.76,6.13,71.5,8.13,10.06,27.42,1.17,16.41,0.24,1.35,2.42,73.42,3.74,57.38,2.24,0.92,3.87,82.54
Lautaro Martínez,Internazionale,CF,23,70000000,2023-06-30,2585,Argentina,right,174,79,no,3.69,45.28,3.48,26,0.94,3.16,1.78,0.59,4,40,12.174,7.14,4.98,42.66,6.41,1.29,13.3,2.02,16.57,64.5,4.11,59.32,3.03,5.12,14.73,0.97,16.2,0.1,0.8,1.57,55.56,1.43,51.22,1.46,0.14,1.98,70.18
Bernardo Silva,Manchester City,"RWF, RAMF, LWF",26,70000000,2025-06-30,2191,Portugal,left,173,64,no,5.18,61.9,1.52,40.54,1.01,5.11,0.9,0.26,1.89,32.61,13.043,38.27,4.89,47.9,5.42,3.33,43.91,2.51,56.93,87.73,10.27,78,13.93,21.07,52.33,1.68,17.67,0.22,1.89,4.11,80,3.04,58.11,1.77,1.15,6.04,85.03
Mikel Oyarzabal,Real Sociedad,"LW, LAMF, LWF",23,60000000,2024-06-30,3258,Spain,left,181,79,no,4.2,55.26,3.26,33.05,0.39,3.88,0.88,0.23,1.69,36.07,16.393,23.96,4.12,46.98,2.62,1.35,21.35,1.85,28.81,77.28,6.3,71.93,7.54,8.65,25.36,1.16,17.98,0.16,1.19,2.07,72,2.85,52.43,1.27,0.64,4.01,80
C. Pulišić,Chelsea,"LWF, LAMF",22,60000000,2024-06-30,1836,"USA, Croatia",right,173,70,no,4.36,53.93,3.14,31.25,0.38,2.52,0.74,0.38,2.84,41.38,15.517,18.92,8.09,52.12,4.51,3.92,25.64,1.47,33.09,80.59,6.76,70.29,9.71,8.38,29.9,1.72,16.58,0.18,1.37,2.11,69.77,2.84,51.72,1.91,0.29,3.43,77.14
Richarlison,Everton,"CF, RAMF, LW",23,60000000,2024-06-30,3303,Brazil,right,179,71,no,4.71,64.74,5.48,30.85,0.77,3.22,1.2,0.27,2.23,39.02,15.854,17.91,4.22,54.19,3.68,2.02,12.48,1.36,20.87,68.67,5.67,58.65,4.77,5.53,18.2,1.12,17.3,0.14,0.76,1.74,57.81,2.32,48.24,1.34,0.35,2.86,71.43
Gabriel Jesus,Manchester City,CF,23,60000000,2023-06-30,2197,Brazil,right,175,67,no,3.48,55.29,4.67,31.58,0.23,3.62,1.11,0.82,3.6,48.86,15.909,50,4.06,50.51,6.47,1.02,18.76,1.47,23.68,88.41,3.15,74.03,7.37,7.05,22.9,0.49,15.05,0.08,0.86,1.27,83.87,1.02,84,1.76,0.16,1.43,80
P. Foden,Manchester City,"LWF, LAMF, RWF",20,60000000,2024-06-30,1011,England,left,175,68,no,5.88,53.03,1.96,40.91,0.16,3.26,0.98,0.42,2.94,45.45,15.152,38.71,3.65,70.73,4.81,2.67,38.37,2.4,44.42,87.17,7.3,76.83,13.09,13.8,39.35,2.4,16.14,0.2,1.16,3.47,84.62,3.38,65.79,2.05,0.98,4.72,84.91
E. Hazard,Real Madrid,"LWF, LW",29,60000000,2024-06-30,1129,Belgium,right,175,74,no,3.03,34.21,0.88,45.45,0.11,2.83,0.88,0.18,1.43,72.22,5.556,22.22,8.21,56.31,5.5,4.94,34.6,2.55,45.92,85.24,8.45,82.08,12.6,14.11,42.57,1.67,16.3,0.22,1.67,2.63,72.73,2.63,72.73,1.99,0.4,3.99,82
Koke,Atlético Madrid,"LW, RW, LCMF",28,60000000,2024-06-30,2900,Spain,right,176,75,no,6.83,61.82,2.3,43.24,0.71,4.8,0.81,0.1,0.65,42.86,19.048,28.13,0.81,53.85,1.27,0.34,36.78,0.47,48.88,86.92,13.9,77.01,10.18,15.14,45.19,2.86,16.31,0.18,1.43,7.08,77.19,1.89,49.18,1.02,0.37,6.52,79.05
R. Lewandowski,Bayern München,CF,32,60000000,2023-06-30,2887,Poland,right,184,80,no,2.4,49.35,4.24,48.53,0.16,1.35,0.94,0.74,4.11,48.48,25.758,48.57,3.96,39.37,6.42,1.31,19.8,2.21,22.48,76.28,5.27,60.95,4.55,6.36,20.57,0.84,14.7,0.16,0.97,1.53,65.31,2.56,60.98,1.84,0.53,2.09,80.6
Cristiano Ronaldo,Juventus,"CF, LWF",35,60000000,2022-06-30,3141,Portugal,right,187,84,no,1.72,58.33,2.72,45.26,0.2,1.92,0.74,0.77,5.79,39.6,15.347,31.25,6.59,66.52,5.59,3.95,30.74,2.09,34.7,85.3,6.3,76.82,10,9.68,32.49,0.97,15.13,0.16,1.29,2.55,85.39,1.83,60.94,1.26,0.37,3.09,88.89
M. Icardi,PSG,CF,27,55000000,2024-06-30,1342,"Argentina, Italy",right,181,75,no,1.61,29.17,1.88,28.57,0.11,2.87,0.8,0.64,2.28,55.88,35.294,14.29,1.21,61.11,4.63,0.47,8.92,1.07,11.47,83.63,2.28,82.35,3.22,2.62,10.73,0.34,18.19,0.14,0.67,0.94,92.86,0.67,70,1.34,0.07,1.14,76.47
A. Martial,Manchester United,CF,25,55000000,2024-06-30,2808,"France, Guadeloupe",right,184,76,no,2.37,52.7,2.6,29.63,0.24,1.95,0.9,0.36,2.47,50.65,22.078,37.5,3.88,44.63,4.23,1.47,18.24,0.8,21.92,82.16,5.06,73.42,5.77,5.45,21.25,0.19,13.7,0.11,0.87,1.6,82,1.63,76.47,1.76,0.19,2.12,78.79
W. Zaha,Crystal Palace,"LW, LWF, CF",28,50000000,2023-06-30,3565,England,right,180,66,no,6.44,56.47,0.96,28.95,0.06,1.97,1.24,0.15,1.51,30,6.667,28.72,11.21,52.48,3.74,4.29,19.14,1.57,28.58,81.01,5.48,79.72,7.85,8.91,25.62,0.83,17.87,0.11,0.78,2.12,76.19,3.41,63.7,2.22,0.66,4.34,86.05
Vinícius Júnior,Real Madrid,"LWF, LW",20,50000000,2025-06-30,1494,"Brazil, Spain",right,176,73,no,6.33,52.38,0.6,40,0.54,2.25,1.2,0.27,2.23,43.24,8.108,22.92,8.86,46.94,6.33,5.42,24.28,2.53,31.33,78.46,5.42,63.33,10.78,8.49,27.89,0.84,15.41,0.1,0.96,1.33,81.82,2.29,42.11,1.57,0.48,2.65,75
V. Osimhen,Napoli,CF,21,50000000,2025-06-30,2439,Nigeria,right,185,78,no,2.1,43.86,9.89,40.3,0.16,2.6,2.1,0.57,2.95,42.5,16.25,22.58,2.55,50.72,4.24,0.96,7.45,2.03,11.11,70.43,1.92,57.69,2.4,3.47,9.7,0.37,15.05,0.09,0.59,0.74,65,0.89,37.5,0.59,0.15,1,74.07
