Player,Team,Position,Age,Market value,Contract expires,Minutes played,Passport country,Foot,Height,Weight,On loan,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,PAdj Interceptions,Fouls per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %","Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
D. Szoboszlai,Salzburg,"LW, AMF, RW",20,25000000,2022-05-31,835,Hungary,right,186,74,no,4.96,52.17,2.16,40,0.53,4.94,1.72,0.39,2.05,47.37,21.053,52.94,3.77,40,2.8,1.72,29.32,1.83,43.22,81.3,10.89,68.32,8.62,14.98,37.29,4.2,16.99,0.47,4.42,5.39,64,3.99,56.76,2.48,1.08,6.9,78.13
P. Daka,Salzburg,CF,22,20000000,2024-05-31,556,Zambia,right,183,71,no,2.59,68.75,3.08,42.11,0.29,4.08,0.81,1.21,5.02,54.84,25.806,25,4.05,56,8.09,0.81,16.35,1.78,20.72,64.84,5.02,45.16,5.67,5.34,17.97,0.81,16.62,0.09,1.46,1.78,45.45,2.91,61.11,2.1,0.32,2.27,71.43
S. Koita,Salzburg,CF,21,12500000,2024-05-31,583,Mali,left,173,67,no,3.55,47.83,2.78,38.89,1.12,3.64,2.01,1.23,5.71,62.16,27.027,50,6.17,62.5,6.95,1.7,18.22,2.32,22.69,75.51,5.56,72.22,4.63,5.09,21.15,0.31,12.68,0.21,1.08,2.01,61.54,2.78,66.67,2.16,0.62,3.09,75
M. Berisha,Salzburg,"CF, AMF",22,10000000,2022-06-30,675,"Germany, Kosovo",right,186,79,no,2,53.33,2.8,23.81,0.23,3.72,1.33,0.47,2.8,61.9,33.333,15.38,3.33,48,5.87,0.53,20,2.13,24.27,67.03,6,57.78,4.4,8.13,20.13,0.8,18.94,0.13,1.07,3.2,58.33,2.67,40,1.33,0.53,2.4,83.33
K. Adeyemi,Salzburg,"CF, LAMF",18,9000000,2024-06-30,413,"Germany, Nigeria",left,177,75,no,3.49,18.75,3.92,33.33,0.34,3.45,1.31,0.25,1.96,44.44,11.111,20,9.59,47.73,6.97,2.4,14.82,1.96,21.14,59.79,4.36,55,4.79,4.79,16.78,1.09,14.2,0.27,0.87,0.65,66.67,1.53,57.14,1.31,0.65,2.4,63.64
N. Okafor,Salzburg,"LW, RW, CF",20,7500000,2024-05-31,627,"Switzerland, Nigeria",right,185,85,no,5.74,45,0.86,16.67,0.54,5.89,2.15,0.29,2.01,57.14,28.571,16.67,6.46,44.44,2.01,1.72,24.4,0.86,31.72,85.07,7.03,73.47,8.33,10.77,27.99,2.01,18.71,0.11,1.72,3.01,80.95,4.45,64.52,1.72,0.57,5.31,83.78
J. Eggestein,LASK Linz,"CF, LWF",22,4000000,2022-06-30,725,Germany,right,183,75,yes,2.11,52.94,5.09,19.51,0,3.66,1.24,0.74,3.97,56.25,18.75,25,3.23,50,5.46,1.61,18.12,1.74,25.2,73.89,5.71,65.22,6.21,7.32,23.21,0.99,14.95,0.22,1.86,2.11,70.59,1.86,40,0.74,0.25,1.24,80
D. Joveljić,Wolfsberger AC,CF,21,4000000,2024-06-30,618,"Bosnia and Herzegovina, Serbia",right,181,69,yes,2.18,40,5.39,54.05,0.43,1.73,1.46,0.6,2.33,62.5,37.5,20,2.77,42.11,4.51,0.44,14.56,2.77,19.51,75.37,3.35,60.87,6.99,4.08,18.35,0.44,13.36,0.02,0.29,1.02,71.43,1.02,57.14,0.58,0.15,1.6,45.45
L. Sučić,Liefering,"RAMF, LAMF, RW",18,3000000,2024-06-30,290,"Austria, Croatia",left,185,74,no,6.83,59.09,1.55,20,0,7.22,0.62,0.13,1.55,0,0,66.67,2.48,62.5,0.93,0.93,27.31,0.93,39.41,87.4,9.31,70,7.76,14.59,36.62,1.86,15.98,0.11,0.93,3.72,58.33,3.1,80,2.17,0.62,5.59,88.89
M. Raguz,LASK Linz,CF,22,2500000,2022-06-30,458,"Austria, Croatia",right,186,79,no,1.57,37.5,8.45,37.21,0,4.04,2.16,0.73,2.16,45.45,18.182,50,1.38,57.14,3.73,0,18.28,3.34,26.72,69.85,7.47,44.74,5.9,8.06,25.55,0.79,14.34,0.16,0.98,2.55,46.15,1.38,71.43,1.77,0.2,2.36,91.67
E. Kara,Rapid Wien,CF,24,2500000,2022-06-30,884,Austria,,0,0,no,4.48,50,11,57.41,0.5,2.51,2.75,0.93,4.58,48.89,13.333,27.27,3.05,60,6.52,1.43,13.13,4.48,19.65,64.77,3.87,55.26,6.11,4.48,18.12,0.41,14.57,0.23,1.43,1.73,58.82,1.02,50,1.02,0.2,1.93,73.68
T. Murg,PAOK,"RW, RAMF",26,2000000,2024-06-30,335,Austria,left,174,70,no,2.69,50,1.88,14.29,0,4.52,0.54,0.4,2.15,75,25,37.5,4.3,50,2.42,1.88,24.99,1.88,33.31,74.19,8.06,53.33,6.72,9.4,27.67,4.03,18.26,0.68,3.22,2.96,63.64,2.69,40,1.07,0.81,5.37,70
H. Balić,LASK Linz,"LWF, AMF",24,2000000,2024-06-30,591,"Austria, Bosnia and Herzegovina",right,183,73,no,3.65,66.67,4.42,31.03,0,2.24,0.46,0.27,2.28,60,13.333,18.18,6.55,51.16,4.57,2.44,17.82,1.37,21.17,68.35,4.42,58.62,6.24,5.33,19.34,0.15,13.74,0.1,0.61,1.83,75,1.98,30.77,0.46,0.3,2.13,78.57
A. Gruber,LASK Linz,"RWF, AMF, LWF",25,2000000,2023-06-30,825,Austria,both,174,70,no,4.36,47.5,3.27,33.33,0.6,2.58,1.75,0.13,1.42,38.46,15.385,30.3,2.84,46.15,4.8,1.2,23.13,2.18,31.09,69.82,9.16,67.86,5.13,8.62,25.2,2.62,17.14,0.18,0.76,3.71,70.59,3.49,40.63,1.85,1.09,5.78,73.58
P. Wimmer,Austria Wien,"LW, RW, CF",19,1500000,2021-06-30,701,Austria,right,182,77,no,7.06,52.73,6.93,35.19,0.43,5.07,1.54,0.22,1.67,30.77,15.385,33.33,6.42,48,3.34,1.67,12.33,1.41,19.51,58.55,7.19,46.43,2.7,4.88,17.08,0.9,16.3,0.14,1.03,2.57,40,2.44,47.37,1.28,0.26,3.98,61.29
D. Fitz,Austria Wien,"CF, AMF",21,1500000,2023-06-30,202,Austria,right,175,67,no,7.57,41.18,5.79,15.38,0.94,2.81,2.23,0.06,0.45,0,0,0,6.24,28.57,2.23,0.89,19.6,4.46,29.41,56.06,9.8,50,3.56,8.02,24.06,3.12,17.68,0.07,0.45,4.9,54.55,3.56,12.5,0.89,0,4.9,63.64
M. Grüll,Ried,"CF, LAMF, LW",22,1300000,2021-05-31,1047,Austria,right,182,71,no,4.99,58.62,3.78,22.73,0.7,1.89,1.72,0.39,1.98,47.83,21.739,38.89,6.36,52.7,2.41,1.55,9.03,1.38,15.73,73.77,3.87,68.89,3.09,5.5,13.93,0.43,16.2,0.11,0.6,1.29,66.67,1.38,43.75,0.86,0.43,2.49,72.41
D. Vizinger,Wolfsberger AC,CF,22,1300000,2024-06-30,601,Croatia,right,180,74,no,4.19,50,3.44,52.17,0,2.69,1.5,0.35,3.14,42.86,14.286,37.5,2.55,35.29,4.94,1.05,15.57,2.25,21.41,74.83,5.24,65.71,4.49,5.54,19.17,1.05,14.57,0.07,0.9,2.4,81.25,1.35,77.78,1.2,0.45,2.55,82.35
D. Hugi,St. Pölten,"LWF, CF, RWF",25,1300000,2022-06-30,974,Israel,right,180,78,no,2.22,62.5,2.49,33.33,0.49,0.98,1.02,0.59,2.4,57.69,26.923,46.67,2.22,50,3.33,1.94,16.63,3.33,21.99,67.23,4.62,52,4.53,6.47,19.5,1.2,16.01,0.37,2.4,2.13,60.87,2.03,50,0.46,0.55,3.05,60.61
C. Monschein,Austria Wien,CF,28,1200000,2021-06-30,783,Austria,right,178,74,no,2.76,41.67,2.53,27.27,0.27,1.35,1.03,0.64,2.64,43.48,17.391,44.44,2.64,39.13,3.79,0.69,10.23,2.41,14.48,64.29,2.99,53.85,4.25,3.56,13.22,0.34,14.77,0.08,0.69,1.84,50,0.69,83.33,0.57,0.46,2.18,68.42
T. Schick,Rapid Wien,"RAMF, RWB, RB",30,1000000,2022-06-30,689,Austria,right,180,72,no,6.01,58.7,1.31,50,1.45,4.55,1.83,0.11,1.18,66.67,22.222,33.33,2.74,52.38,2.22,0.91,23.51,3.53,32,77.14,10.32,69.62,6.4,10.32,25.86,3,17.04,0.31,1.57,3,78.26,3.4,50,1.04,1.04,6.79,80.77
K. Kitagawa,Rapid Wien,CF,24,1000000,2023-06-30,308,Japan,right,178,79,no,4.38,46.67,6.43,36.36,0,2.69,0.88,0.75,2.92,40,30,16.67,3.8,61.54,4.68,0.58,16.36,2.34,22.5,71.43,3.8,53.85,4.97,9.64,19.29,1.46,16.91,0.21,1.46,1.75,33.33,2.05,42.86,0.58,0.29,1.17,25
K. Arase,Rapid Wien,"LAMF, LW, RB5",21,1000000,2022-06-30,585,"Nigeria, Austria",right,171,62,no,9.23,60,1.08,14.29,0.24,3.81,1.54,0.28,1.38,33.33,22.222,25,4.62,36.67,3.23,2,16.62,2.46,26.62,66.47,4.62,40,8.92,7.85,23.23,1.08,16.99,0.13,1.08,1.85,25,2.31,46.67,1.38,0.62,3.23,47.62
A. Schmidt,St. Pölten,"CF, AMF",22,1000000,2023-06-30,849,Austria,right,193,88,yes,5.3,34,7.63,40.28,0.27,3.92,2.65,0.53,2.54,62.5,29.167,50,2.65,56,3.18,1.06,11.87,1.91,18.87,69.66,5.94,60.71,2.86,6.68,17.28,1.17,18.69,0.09,0.85,3.71,68.57,1.06,40,0.32,0.21,3.71,74.29
M. Sarkaria,Austria Wien,"RW, LW, LCMF",24,900000,2021-06-30,810,Austria,left,180,74,no,6.78,52.46,3,37.04,0.26,3.57,1,0.07,2.11,31.58,5.263,50,7.44,50.75,0.89,2.22,19.56,2.22,27.67,71.49,8.89,53.75,4.78,10.33,22.33,3.56,19.42,0.15,0.89,5.56,68,3.22,48.28,0.67,0.89,5.44,71.43
B. Pichler,Austria Wien,"CF, RW, LW",23,900000,2023-06-30,1078,Austria,right,184,87,no,5.34,60.94,12.02,45.83,0,3.21,1.5,0.33,1.84,45.45,13.636,14.81,5.76,56.52,5.43,2,13.86,3.26,21.62,64.09,5.09,50.82,4.59,6.43,18.45,1.09,18.1,0.06,1,1.75,47.62,1.75,42.86,0.92,0.33,2.25,59.26
D. Tadić,Hartberg,CF,30,800000,2023-06-30,951,"Serbia, Austria",right,177,77,no,0.66,42.86,3.79,22.5,0.26,2.05,0.47,0.36,2.18,47.83,21.739,23.53,1.32,50,2.93,0.28,13.25,3.79,18.74,59.09,4.64,53.06,4.73,6.72,16.37,0.76,18.45,0.02,0.47,2.18,56.52,1.23,38.46,0.57,0.28,1.7,66.67
R. Rep,Hartberg,"CF, AMF",30,800000,2023-06-30,984,Slovenia,both,177,73,no,3.66,55,2.1,21.74,0.13,2.38,1.1,0.37,2.56,57.14,10.714,29.17,3.66,57.5,3.66,1.37,19.66,2.56,26.8,67.58,8.69,55.79,4.39,8.78,20.58,4.02,19.38,0.07,1.01,4.21,56.52,3.02,51.52,1.1,0.73,5.3,70.69
E. Peretz,Wolfsberger AC,"CF, LCMF3, AMF",24,800000,2022-06-30,426,Israel,right,189,85,no,6.34,40,4.01,36.84,0.33,3.67,2.96,0.43,2.32,63.64,36.364,20,2.75,76.92,3.59,2.11,31.27,2.11,44.15,82.78,10.99,76.92,7.61,17.54,40.77,2.32,18.72,0.06,1.27,7.61,75,3.59,52.94,2.11,0.42,8.03,78.95
B. Balaj,Sturm Graz,CF,29,800000,2021-06-30,473,Albania,right,188,78,no,3.62,57.89,11.23,40.68,0.59,3.56,2.47,0.37,2.47,46.15,23.077,66.67,1.33,42.86,4.19,1.33,13.7,3.81,20.17,69.81,5.33,64.29,5.52,4.57,18.46,1.14,14.81,0.11,1.14,2.28,41.67,1.52,75,1.33,0.38,1.71,100
S. Horvath,Hartberg,"LAMF, LW, RW",24,700000,2022-06-30,581,Austria,right,165,60,no,4.8,67.74,1.86,8.33,0.21,3.31,0.62,0.04,0.93,16.67,0,31.82,6.35,53.66,1.24,2.48,17.35,2.32,31.91,70.87,8.21,56.6,8.98,8.67,26.64,2.17,15.65,0.37,2.17,2.94,68.42,4.65,50,1.7,0.93,4.65,66.67
A. Turgeman,Austria Wien,CF,29,650000,2021-06-30,114,Israel,right,178,74,no,1.58,50,0.79,100,0,0,2.37,0.23,1.58,50,50,0,1.58,100,3.16,0,13.42,0.79,16.58,76.19,4.74,50,3.95,3.16,15.79,0.79,11.29,0,0,1.58,100,0.79,100,0.79,0,2.37,33.33
M. Schmerböck,Wolfsberger AC,"CF, LWF",26,600000,2021-06-30,170,Austria,left,178,73,no,5.29,70,2.12,50,0,5.83,2.12,0.16,1.59,33.33,0,0,2.12,0,2.65,0,15.88,2.12,19.06,58.33,6.35,50,4.76,2.65,14.29,2.12,18.63,0,0,2.12,25,2.12,25,0,0,2.12,100
A. Jukic,Austria Wien II,"LW, LCMF",20,600000,2021-05-31,548,Austria,right,183,73,no,6.9,47.62,2.3,28.57,0.19,6.69,0.66,0.28,1.97,50,8.333,71.43,2.46,46.67,1.81,0.49,22.5,1.48,33.67,86.34,9.85,73.33,7.39,11,30.05,2.46,15.96,0.08,0.33,5.26,75,1.64,70,0.33,0.99,5.58,64.71
C. Dieng,Wolfsberger AC,CF,27,600000,2022-06-30,379,Senegal,right,180,66,no,2.14,66.67,3.32,14.29,0.67,2.02,1.42,0.13,0.71,100,33.333,40,5.94,56,2.37,2.14,10.69,1.66,17.34,71.23,3.32,78.57,4.99,4.99,14.72,0.24,15.31,0.09,0.95,0.95,75,2.85,58.33,0.71,1.42,2.61,63.64
J. Jantscher,Sturm Graz,CF,31,600000,2021-06-30,884,Austria,right,181,69,no,2.65,53.85,1.73,11.76,0.29,2.5,0.71,0.27,2.55,44,16,31.03,2.44,45.83,4.79,1.32,23.62,3.87,32.38,80.19,6.01,71.19,8.35,8.45,28.3,1.32,14.6,0.4,2.65,2.04,65,2.04,40,1.53,0.81,3.46,85.29
